line_code,direction,sequence,stop_code,dwell_seconds
102,outbound,1,TRM-S,25
102,outbound,2,SADAF,25
102,outbound,3,AZADI,25
102,outbound,4,BAZAR,25
102,outbound,5,SHOHADA,25
102,outbound,6,HOSP,25
102,outbound,7,EMAM,25
102,outbound,8,SEYED,25
102,outbound,9,NAKHL,25
102,outbound,10,UNI,25
102,inbound,1,UNI,25
102,inbound,2,NAKHL,25
102,inbound,3,SEYED,25
102,inbound,4,EMAM,25
102,inbound,5,HOSP,25
102,inbound,6,SHOHADA,25
102,inbound,7,BAZAR,25
102,inbound,8,AZADI,25
102,inbound,9,SADAF,25
102,inbound,10,TRM-S,25
205,outbound,1,GOLSH,25
205,outbound,2,SAYYAD,25
205,outbound,3,AZADI,25
205,outbound,4,SHAHRD,25
205,outbound,5,SHOHADA,25
205,outbound,6,JAHAD,25
205,inbound,1,JAHAD,25
205,inbound,2,SHOHADA,25
205,inbound,3,SHAHRD,25
205,inbound,4,AZADI,25
205,inbound,5,SAYYAD,25
205,inbound,6,GOLSH,25
310,outbound,1,SHOHADA,25
310,outbound,2,EMAM,25
310,outbound,3,PARK,25
310,outbound,4,NAKHL,25
310,outbound,5,UNI,25
310,outbound,6,AIRP,25
310,inbound,1,AIRP,25
310,inbound,2,UNI,25
310,inbound,3,NAKHL,25
310,inbound,4,PARK,25
310,inbound,5,EMAM,25
310,inbound,6,SHOHADA,25
118,outbound,1,PORT,25
118,outbound,2,TRM-S,25
118,outbound,3,SADAF,25
118,outbound,4,AZADI,25
118,inbound,1,AZADI,25
118,inbound,2,SADAF,25
118,inbound,3,TRM-S,25
118,inbound,4,PORT,25
222,outbound,1,ZEYTUN,25
222,outbound,2,PARDIS,25
222,outbound,3,ISAR,25
222,outbound,4,JAHAD,25
222,outbound,5,SHAHRD,25
222,outbound,6,SAHEL,25
222,inbound,1,SAHEL,25
222,inbound,2,SHAHRD,25
222,inbound,3,JAHAD,25
222,inbound,4,ISAR,25
222,inbound,5,PARDIS,25
222,inbound,6,ZEYTUN,25
140,outbound,1,SURO,25
140,outbound,2,SHAHID,25
140,outbound,3,SAHEL,25
140,outbound,4,FISH,25
140,inbound,1,FISH,25
140,inbound,2,SAHEL,25
140,inbound,3,SHAHID,25
140,inbound,4,SURO,25
